M                      0.9          1.0          1.2          1.5          1.8          1.9          2.0          2.2          2.5          3.0          3.5          4.0          4.5          5.0          5.5          6.0          6.5          7.0          8.0         10.0         11.0         13.0         15.0         18.0         20.0         25.0         30.0         40.0        100.0        140.0        140.0        150.0        170.0        200.0        270.0        300.0
E                       0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           1.           1.           1.           1.           1.           1.           1.           1.           1.           1.           9.          16.          28.          44.          49.          50.
Mrem                 0.798        0.843        0.902        0.962        1.021        1.056        1.080        1.085        1.090        1.101        1.103        1.105        1.107        1.109        1.110        1.112        1.114        1.116        1.120        1.150        1.500        1.570        1.480        1.650        1.660        1.920        2.070        2.890       10.430       13.199        0.000        0.000        0.000        0.000        0.000        0.000
H   1          0.69896E-01  0.10357E+00  0.22939E+00  0.35521E+00  0.48104E+00  0.55653E+00  0.60685E+00  0.74530E+00  0.87408E+00  0.11027E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.58042E+01  0.65948E+01  0.75791E+01  0.84311E+01  0.87742E+01  0.10639E+02  0.11693E+02  0.14028E+02  0.26807E+02  0.31500E+02  0.33277E+02  0.35654E+02  0.40810E+02  0.37250E+02  0.65820E+02  0.75850E+02
H   2          0.13781E-04  0.14395E-04  0.23915E-04  0.24692E-04  0.16727E-04  0.77510E-05  0.18610E-07  0.17670E-07  0.14256E-07  0.63471E-17  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.18923E-15  0.14917E-15  0.16930E-15  0.12831E-15  0.86589E-16  0.20198E-15  0.13430E-15  0.34610E-15  0.10105E-14  0.12545E-14  0.26613E-15  0.28514E-15  0.36670E-04  0.20380E-15  0.18380E-12  0.24826E-12
He  3          0.81778E-05  0.25188E-04  0.41868E-04  0.43276E-04  0.29410E-04  0.13760E-04  0.27165E-06  0.26131E-06  0.21625E-06  0.21992E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.39043E-04  0.41189E-04  0.40865E-04  0.33301E-04  0.47561E-04  0.21065E-03  0.20619E-03  0.25648E-04  0.15186E-04  0.11344E-04  0.25439E-04  0.27256E-04  0.11220E-03  0.31830E-04  0.39550E-04  0.42260E-04
He  4          0.31337E-01  0.51733E-01  0.11521E+00  0.17937E+00  0.24422E+00  0.28345E+00  0.30975E+00  0.41251E+00  0.52382E+00  0.77212E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.34276E+01  0.40136E+01  0.44008E+01  0.54219E+01  0.59363E+01  0.80268E+01  0.95219E+01  0.11893E+02  0.30790E+02  0.37729E+02  0.38927E+02  0.41708E+02  0.47950E+02  0.49030E+02  0.79010E+02  0.89535E+02
Li  6          0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.23047E-18  0.36536E-22  0.11110E-21  0.43739E-22  0.36517E-20  0.26853E-20  0.11331E-21  0.75354E-21  0.18305E-18  0.24999E-18  0.17782E-18  0.19052E-18  0.39280E-14  0.15830E-19  0.93280E-17  0.12597E-16
Li  7          0.74702E-10  0.19836E-09  0.36856E-09  0.46110E-09  0.47597E-09  0.44761E-09  0.41317E-09  0.40654E-09  0.35094E-09  0.92799E-10  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.59255E-09  0.21747E-09  0.29423E-09  0.73410E-10  0.27861E-09  0.56774E-08  0.23600E-07  0.37587E-10  0.41550E-09  0.55427E-09  0.27698E-09  0.29676E-09  0.57660E-08  0.57890E-09  0.55220E-08  0.72574E-08
Be  9          0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.33171E-22  0.17735E-19  0.32153E-21  0.10538E-21  0.44857E-22  0.12403E-16  0.12594E-19  0.53272E-19  0.44509E-17  0.60658E-17  0.81777E-21  0.87618E-21  0.12910E-13  0.28380E-17  0.43960E-20  0.00000E+00
B  10          0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.14412E-17  0.29222E-20  0.83016E-19  0.39242E-20  0.15684E-18  0.28650E-17  0.51808E-19  0.23653E-16  0.17040E-16  0.14612E-16  0.11761E-13  0.12601E-13  0.66400E-21  0.20270E-13  0.36220E-15  0.00000E+00
B  11          0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.27952E-14  0.29406E-15  0.32969E-15  0.71387E-15  0.65449E-16  0.94557E-15  0.32678E-14  0.30727E-13  0.74666E-09  0.10208E-08  0.63522E-13  0.68059E-13  0.82120E-08  0.14410E-11  0.74610E-08  0.10080E-07
